category,rank,word,chi2_score,freq_in_cat,freq_out_cat
대출 사기형,11,대출,1.222,0.058,0.007
수사기관 사칭형,1,사건,1.809,0.06,0.0
수사기관 사칭형,2,명의,1.641,0.059,0.002
수사기관 사칭형,3,수사,1.583,0.053,0.0
수사기관 사칭형,4,조사,1.518,0.051,0.0
수사기관 사칭형,5,범죄,1.511,0.05,0.0
수사기관 사칭형,6,개설,1.487,0.05,0.0
수사기관 사칭형,7,검거,1.465,0.049,0.0
수사기관 사칭형,8,수사관,1.375,0.046,0.0
수사기관 사칭형,9,발견,1.305,0.043,0.0
수사기관 사칭형,10,압수,1.287,0.043,0.0
수사기관 사칭형,12,불법,1.204,0.04,0.0
수사기관 사칭형,13,진술,1.182,0.039,0.0
수사기관 사칭형,14,녹취,1.169,0.046,0.002
수사기관 사칭형,15,연루,1.147,0.038,0.0
수사기관 사칭형,16,남성,1.064,0.035,0.0
수사기관 사칭형,17,대포,1.043,0.035,0.0
수사기관 사칭형,18,피해자,1.043,0.044,0.003
수사기관 사칭형,19,도용,1.043,0.035,0.0
수사기관 사칭형,20,서울,1.021,0.052,0.007
